y_true,y_pred,Freq
cajun_creole,cajun_creole,43
chinese,cajun_creole,0
filipino,cajun_creole,0
french,cajun_creole,0
greek,cajun_creole,0
indian,cajun_creole,0
italian,cajun_creole,3
japanese,cajun_creole,0
korean,cajun_creole,0
mexican,cajun_creole,3
moroccan,cajun_creole,0
southern_us,cajun_creole,5
spanish,cajun_creole,0
thai,cajun_creole,0
UK,cajun_creole,0
vietnamese,cajun_creole,0
cajun_creole,chinese,10
chinese,chinese,886
filipino,chinese,92
french,chinese,14
greek,chinese,5
indian,chinese,18
italian,chinese,18
japanese,chinese,157
korean,chinese,179
mexican,chinese,31
moroccan,chinese,4
southern_us,chinese,31
spanish,chinese,4
thai,chinese,111
UK,chinese,16
vietnamese,chinese,56
cajun_creole,filipino,1
chinese,filipino,1
filipino,filipino,39
french,filipino,0
greek,filipino,0
indian,filipino,0
italian,filipino,0
japanese,filipino,0
korean,filipino,0
mexican,filipino,0
moroccan,filipino,0
southern_us,filipino,0
spanish,filipino,1
thai,filipino,0
UK,filipino,0
vietnamese,filipino,0
cajun_creole,french,38
chinese,french,3
filipino,french,2
french,french,216
greek,french,18
indian,french,18
italian,french,120
japanese,french,2
korean,french,0
mexican,french,37
moroccan,french,14
southern_us,french,145
spanish,french,7
thai,french,1
UK,french,85
vietnamese,french,2
cajun_creole,greek,0
chinese,greek,0
filipino,greek,0
french,greek,1
greek,greek,94
indian,greek,0
italian,greek,23
japanese,greek,0
korean,greek,0
mexican,greek,4
moroccan,greek,3
southern_us,greek,2
spanish,greek,0
thai,greek,0
UK,greek,0
vietnamese,greek,0
cajun_creole,indian,0
chinese,indian,1
filipino,indian,1
french,indian,3
greek,indian,2
indian,indian,790
italian,indian,2
japanese,indian,32
korean,indian,0
mexican,indian,10
moroccan,indian,24
southern_us,indian,12
spanish,indian,6
thai,indian,10
UK,indian,2
vietnamese,indian,4
cajun_creole,italian,488
chinese,italian,341
filipino,italian,162
french,italian,819
greek,italian,411
indian,italian,509
italian,italian,3444
japanese,italian,220
korean,italian,110
mexican,italian,1056
moroccan,italian,216
southern_us,italian,1081
spanish,italian,434
thai,italian,250
UK,italian,375
vietnamese,italian,133
cajun_creole,japanese,0
chinese,japanese,17
filipino,japanese,1
french,japanese,0
greek,japanese,0
indian,japanese,0
italian,japanese,0
japanese,japanese,213
korean,japanese,25
mexican,japanese,0
moroccan,japanese,0
southern_us,japanese,0
spanish,japanese,0
thai,japanese,3
UK,japanese,0
vietnamese,japanese,2
cajun_creole,korean,0
chinese,korean,28
filipino,korean,0
french,korean,0
greek,korean,0
indian,korean,0
italian,korean,0
japanese,korean,22
korean,korean,83
mexican,korean,0
moroccan,korean,0
southern_us,korean,0
spanish,korean,0
thai,korean,5
UK,korean,0
vietnamese,korean,2
cajun_creole,mexican,40
chinese,mexican,14
filipino,mexican,9
french,mexican,5
greek,mexican,13
indian,mexican,141
italian,mexican,35
japanese,mexican,21
korean,mexican,9
mexican,mexican,1991
moroccan,mexican,99
southern_us,mexican,79
spanish,mexican,48
thai,mexican,45
UK,mexican,6
vietnamese,mexican,24
cajun_creole,moroccan,1
chinese,moroccan,0
filipino,moroccan,1
french,moroccan,0
greek,moroccan,3
indian,moroccan,5
italian,moroccan,2
japanese,moroccan,1
korean,moroccan,0
mexican,moroccan,24
moroccan,moroccan,42
southern_us,moroccan,2
spanish,moroccan,5
thai,moroccan,0
UK,moroccan,0
vietnamese,moroccan,0
cajun_creole,southern_us,145
chinese,southern_us,14
filipino,southern_us,21
french,southern_us,229
greek,southern_us,27
indian,southern_us,58
italian,southern_us,224
japanese,southern_us,20
korean,southern_us,2
mexican,southern_us,83
moroccan,southern_us,20
southern_us,southern_us,813
spanish,southern_us,10
thai,southern_us,8
UK,southern_us,259
vietnamese,southern_us,2
cajun_creole,spanish,0
chinese,spanish,0
filipino,spanish,0
french,spanish,0
greek,spanish,0
indian,spanish,0
italian,spanish,0
japanese,spanish,0
korean,spanish,0
mexican,spanish,0
moroccan,spanish,0
southern_us,spanish,0
spanish,spanish,0
thai,spanish,0
UK,spanish,0
vietnamese,spanish,0
cajun_creole,thai,0
chinese,thai,27
filipino,thai,50
french,thai,0
greek,thai,0
indian,thai,3
italian,thai,0
japanese,thai,3
korean,thai,23
mexican,thai,1
moroccan,thai,0
southern_us,thai,0
spanish,thai,0
thai,thai,334
UK,thai,0
vietnamese,thai,193
cajun_creole,UK,0
chinese,UK,0
filipino,UK,0
french,UK,0
greek,UK,0
indian,UK,0
italian,UK,0
japanese,UK,0
korean,UK,0
mexican,UK,0
moroccan,UK,0
southern_us,UK,0
spanish,UK,0
thai,UK,0
UK,UK,0
vietnamese,UK,0
cajun_creole,vietnamese,0
chinese,vietnamese,0
filipino,vietnamese,0
french,vietnamese,0
greek,vietnamese,0
indian,vietnamese,0
italian,vietnamese,0
japanese,vietnamese,0
korean,vietnamese,0
mexican,vietnamese,0
moroccan,vietnamese,0
southern_us,vietnamese,0
spanish,vietnamese,0
thai,vietnamese,0
UK,vietnamese,0
vietnamese,vietnamese,0
