true,british,cajun_creole,chinese,filipino,french,greek,indian,irish,italian,jamaican,japanese,korean,mexican,moroccan,russian,southern_us,spanish,thai,vietnamese
brazilian,0,0.011111111111111112,0,0,0.03333333333333333,0,0.03333333333333333,0,0.13333333333333333,0,0,0,0.24444444444444444,0,0,0.17777777777777778,0,0.044444444444444446,0
british,0.013793103448275862,0.006896551724137931,0.020689655172413793,0,0.16551724137931034,0,0.020689655172413793,0.027586206896551724,0.15172413793103448,0,0,0,0.041379310344827586,0,0,0.5310344827586206,0.020689655172413793,0,0
cajun_creole,0,0.5431309904153354,0.009584664536741214,0,0.038338658146964855,0.003194888178913738,0.006389776357827476,0,0.1182108626198083,0,0,0,0.07667731629392971,0,0,0.2012779552715655,0.003194888178913738,0,0
chinese,0,0,0.884990253411306,0.001949317738791423,0.001949317738791423,0,0.003898635477582846,0.001949317738791423,0.023391812865497075,0,0.01364522417153996,0,0.015594541910331383,0,0,0.031189083820662766,0,0.01949317738791423,0.001949317738791423
filipino,0,0,0.23636363636363636,0.30303030303030304,0.012121212121212121,0,0.04242424242424243,0.006060606060606061,0.05454545454545454,0,0,0,0.048484848484848485,0,0,0.16363636363636364,0,0.12121212121212122,0
french,0.0017699115044247787,0.007079646017699115,0.008849557522123894,0,0.37168141592920356,0.0035398230088495575,0.008849557522123894,0.005309734513274336,0.40353982300884955,0,0.0017699115044247787,0,0.024778761061946902,0,0,0.16106194690265488,0.0017699115044247787,0,0
greek,0,0,0.00881057268722467,0,0.030837004405286344,0.4889867841409692,0.013215859030837005,0.004405286343612335,0.3568281938325991,0,0,0,0.022026431718061675,0.00881057268722467,0,0.06607929515418502,0,0,0
indian,0,0,0.005145797598627788,0,0.008576329331046312,0.0017152658662092624,0.8644939965694682,0,0.017152658662092625,0,0,0,0.051457975986277875,0.010291595197255575,0,0.030874785591766724,0,0.010291595197255575,0
irish,0,0.007751937984496124,0.031007751937984496,0.007751937984496124,0.10852713178294573,0.007751937984496124,0,0.16279069767441862,0.17054263565891473,0,0,0,0.03875968992248062,0,0,0.4573643410852713,0.007751937984496124,0,0
italian,0,0.0012642225031605564,6.321112515802782e-4,0,0.035398230088495575,0.004424778761061947,0.0018963337547408343,0,0.8868520859671302,0,0,0,0.020859671302149177,6.321112515802782e-4,0,0.04740834386852086,0,6.321112515802782e-4,0
jamaican,0,0.032520325203252036,0.13821138211382114,0.024390243902439025,0.024390243902439025,0,0.13821138211382114,0,0.04065040650406504,0.2032520325203252,0,0,0.17886178861788618,0,0,0.18699186991869918,0,0.032520325203252036,0
japanese,0.0034129692832764505,0,0.22866894197952217,0,0.010238907849829351,0.0034129692832764505,0.07508532423208192,0,0.05802047781569966,0,0.4812286689419795,0.006825938566552901,0.034129692832764506,0,0,0.09215017064846416,0,0.0034129692832764505,0.0034129692832764505
korean,0,0,0.4176470588235294,0.0058823529411764705,0.01764705882352941,0,0.011764705882352941,0,0.011764705882352941,0,0.07647058823529412,0.37058823529411766,0.041176470588235294,0,0,0.03529411764705882,0,0,0.011764705882352941
mexican,0,7.886435331230284e-4,0.00473186119873817,0,0.011041009463722398,0,0.006309148264984227,0,0.038643533123028394,0,0,0,0.8927444794952681,7.886435331230284e-4,0,0.04100946372239748,0.0015772870662460567,7.886435331230284e-4,7.886435331230284e-4
moroccan,0,0,0,0,0,0.006369426751592357,0.22929936305732485,0,0.1464968152866242,0,0,0,0.12738853503184713,0.445859872611465,0,0.044585987261146494,0,0,0
russian,0,0,0.03125,0.010416666666666666,0.10416666666666667,0,0.03125,0.020833333333333332,0.23958333333333334,0,0,0,0.052083333333333336,0,0.11458333333333333,0.3958333333333333,0,0,0
southern_us,0.00117096018735363,0.03747072599531616,0.00702576112412178,0,0.02810304449648712,0.00117096018735363,0.00468384074941452,0.00234192037470726,0.12177985948477751,0,0,0,0.05737704918032787,0,0,0.7377049180327869,0,0.00117096018735363,0
spanish,0,0,0.004807692307692308,0,0.0625,0.028846153846153848,0.009615384615384616,0.004807692307692308,0.5384615384615384,0,0,0,0.1346153846153846,0.009615384615384616,0,0.11538461538461539,0.08653846153846154,0.004807692307692308,0
thai,0,0,0.12341772151898735,0,0.006329113924050633,0.0031645569620253164,0.056962025316455694,0,0.022151898734177215,0,0.006329113924050633,0.0031645569620253164,0.04746835443037975,0,0,0.022151898734177215,0,0.680379746835443,0.028481012658227847
vietnamese,0,0,0.22151898734177214,0,0.012658227848101266,0.006329113924050633,0.03164556962025317,0,0.03164556962025317,0,0.006329113924050633,0,0.08860759493670886,0,0,0.012658227848101266,0,0.3037974683544304,0.2848101265822785
