true,british,cajun_creole,chinese,filipino,french,greek,indian,irish,italian,jamaican,japanese,korean,mexican,moroccan,russian,southern_us,spanish,thai,vietnamese
brazilian,0,0,0.02247191011235955,0.011235955056179775,0.033707865168539325,0,0.06741573033707865,0,0.14606741573033707,0,0,0,0.2247191011235955,0,0,0.14606741573033707,0,0,0
british,0.07909604519774012,0.011299435028248588,0,0,0.13559322033898305,0,0.01694915254237288,0.02824858757062147,0.2824858757062147,0.005649717514124294,0.005649717514124294,0,0.01694915254237288,0,0,0.4180790960451977,0,0,0
cajun_creole,0,0.5566343042071198,0.006472491909385114,0,0.03559870550161812,0,0.006472491909385114,0,0.17475728155339806,0,0.003236245954692557,0,0.05177993527508091,0,0,0.16181229773462782,0.003236245954692557,0,0
chinese,0,0.005415162454873646,0.83032490974729245,0.0036101083032490976,0.010830324909747292,0,0.010830324909747292,0,0.03429602888086643,0,0.021660649819494584,0.010830324909747292,0.023465703971119134,0,0,0.02527075812274368,0,0.021660649819494584,0.0018050541516245488
filipino,0,0.00641025641025641,0.23717948717948717,0.32051282051282054,0.02564102564102564,0,0.05128205128205128,0,0.14102564102564102,0,0.00641025641025641,0,0.04487179487179487,0,0,0.10897435897435898,0.00641025641025641,0.04487179487179487,0.00641025641025641
french,0.0039447731755424065,0.0019723865877712033,0.0039447731755424065,0,0.4457593688362919,0.0019723865877712033,0.007889546351084813,0.007889546351084813,0.40433925049309666,0,0,0,0.009861932938856016,0,0,0.11045364891518737,0,0,0.0019723865877712033
greek,0,0.004201680672268907,0.004201680672268907,0,0.025210084033613446,0.42016806722689076,0.012605042016806723,0,0.4495798319327731,0,0,0,0.025210084033613446,0.012605042016806723,0,0.04201680672268908,0.004201680672268907,0,0
indian,0,0,0.005128205128205128,0.003418803418803419,0.006837606837606838,0.005128205128205128,0.8871794871794871,0,0.03418803418803419,0,0,0,0.02735042735042735,0.003418803418803419,0,0.018803418803418803,0,0.006837606837606838,0
irish,0,0.017094017094017096,0.008547008547008548,0,0.18803418803418803,0.008547008547008548,0.017094017094017096,0.15384615384615385,0.21367521367521367,0,0,0,0.017094017094017096,0,0,0.358974358974359,0.017094017094017096,0,0
italian,0,0.0031645569620253164,0.004430379746835443,6.329113924050633e-4,0.02088607594936709,0.0037974683544303796,0.004430379746835443,0.0012658227848101266,0.9050632911392406,0,0,0,0.017721518987341773,6.329113924050633e-4,0,0.035443037974683546,0.0012658227848101266,0,0
jamaican,0.01,0.02,0.04,0,0.04,0,0.07,0,0.06,0.45,0,0,0.15,0,0,0.12,0,0.01,0
japanese,0,0,0.18478260869565216,0,0.018115942028985508,0.0036231884057971015,0.11956521739130435,0,0.028985507246376812,0,0.5471014492753623,0.007246376811594203,0.018115942028985508,0,0,0.06159420289855073,0,0.010869565217391304,0
korean,0,0,0.3411764705882353,0,0.0058823529411764705,0,0.0058823529411764705,0,0.06470588235294118,0,0.052941176470588235,0.4647058823529412,0.01764705882352941,0,0,0.047058823529411764,0,0,0
mexican,0,0.004528301886792453,0.0022641509433962265,7.547169811320754e-4,0.007547169811320755,7.547169811320754e-4,0.0037735849056603774,0,0.05358490566037736,0,7.547169811320754e-4,7.547169811320754e-4,0.8875471698113208,7.547169811320754e-4,0,0.03471698113207547,0,7.547169811320754e-4,0
moroccan,0,0,0.014084507042253521,0,0,0,0.20422535211267606,0,0.1056338028169014,0,0,0,0.07042253521126761,0.5633802816901409,0,0.04225352112676056,0,0,0
russian,0,0.028846153846153848,0,0,0.18269230769230768,0,0.019230769230769232,0.019230769230769232,0.2980769230769231,0,0,0,0.028846153846153848,0,0.10576923076923077,0.3076923076923077,0.009615384615384616,0,0
southern_us,0,0.042600896860986545,0.006726457399103139,0.0011210762331838565,0.0257847533632287,0.002242152466367713,0.014573991031390135,0.0011210762331838565,0.1266816143497758,0,0,0,0.052690582959641255,0.0011210762331838565,0,0.7242152466367713,0.0011210762331838565,0,0
spanish,0,0.006060606060606061,0,0.006060606060606061,0.06060606060606061,0.006060606060606061,0.01818181818181818,0,0.4,0,0.006060606060606061,0,0.12727272727272726,0.01818181818181818,0,0.05454545454545454,0.2909090909090909,0.006060606060606061,0
thai,0,0,0.1180327868852459,0.01639344262295082,0.003278688524590164,0,0.07213114754098361,0,0.019672131147540985,0,0.006557377049180328,0.003278688524590164,0.036065573770491806,0.003278688524590164,0,0.009836065573770493,0,0.7016393442622951,0.009836065573770493
vietnamese,0,0,0.21212121212121213,0.01818181818181818,0.012121212121212121,0,0.04242424242424243,0,0.024242424242424242,0,0.012121212121212121,0,0.03636363636363636,0,0,0.024242424242424242,0,0.2909090909090909,0.32727272727272727
